index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE
0,AUS,CROPYIELD,RICE,TONNE_HA,A,1990,8.314606742
1,AUS,CROPYIELD,RICE,TONNE_HA,A,1991,8.394736842
2,AUS,CROPYIELD,RICE,TONNE_HA,A,1992,8.094339623
3,AUS,CROPYIELD,RICE,TONNE_HA,A,1993,8.336
4,AUS,CROPYIELD,RICE,TONNE_HA,A,1994,8.537815126
5,AUS,CROPYIELD,RICE,TONNE_HA,A,1995,7.051094891
6,AUS,CROPYIELD,RICE,TONNE_HA,A,1996,8.256578947
7,AUS,CROPYIELD,RICE,TONNE_HA,A,1997,9.006802721
8,AUS,CROPYIELD,RICE,TONNE_HA,A,1998,9.202702703
9,AUS,CROPYIELD,RICE,TONNE_HA,A,1999,8.27480916
10,AUS,CROPYIELD,RICE,TONNE_HA,A,2000,9.282485876
11,AUS,CROPYIELD,RICE,TONNE_HA,A,2001,8.277777778
12,AUS,CROPYIELD,RICE,TONNE_HA,A,2002,9.319148936
13,AUS,CROPYIELD,RICE,TONNE_HA,A,2003,8.378787879
14,AUS,CROPYIELD,RICE,TONNE_HA,A,2004,6.647058824
15,AUS,CROPYIELD,RICE,TONNE_HA,A,2005,9.833333333
16,AUS,CROPYIELD,RICE,TONNE_HA,A,2006,8.15
17,AUS,CROPYIELD,RICE,TONNE_HA,A,2007,8.500965251
18,AUS,CROPYIELD,RICE,TONNE_HA,A,2008,8.460939672
19,AUS,CROPYIELD,RICE,TONNE_HA,A,2009,10.38957266
20,AUS,CROPYIELD,RICE,TONNE_HA,A,2010,9.544132589
21,AUS,CROPYIELD,RICE,TONNE_HA,A,2011,8.90979004
22,AUS,CROPYIELD,RICE,TONNE_HA,A,2012,10.27535743
23,AUS,CROPYIELD,RICE,TONNE_HA,A,2013,10.93928949
24,AUS,CROPYIELD,RICE,TONNE_HA,A,2014,7.28364
25,AUS,CROPYIELD,RICE,TONNE_HA,A,2015,9.39044191
26,AUS,CROPYIELD,RICE,TONNE_HA,A,2016,9.459926654
27,AUS,CROPYIELD,RICE,TONNE_HA,A,2017,9.530164843
28,AUS,CROPYIELD,RICE,TONNE_HA,A,2018,9.600335148
29,AUS,CROPYIELD,RICE,TONNE_HA,A,2019,9.66933201
30,AUS,CROPYIELD,RICE,TONNE_HA,A,2020,9.737661608
31,AUS,CROPYIELD,RICE,TONNE_HA,A,2021,9.806622979
32,AUS,CROPYIELD,RICE,TONNE_HA,A,2022,9.876412759
33,AUS,CROPYIELD,RICE,TONNE_HA,A,2023,9.945223653
34,AUS,CROPYIELD,RICE,TONNE_HA,A,2024,10.01419919
35,AUS,CROPYIELD,RICE,TONNE_HA,A,2025,10.08308083
36,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1990,1.634404053
37,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1991,1.469796322
38,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1992,1.781197883
39,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1993,1.965752934
40,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1994,1.13567871
41,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1995,1.789874955
42,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.096300157
43,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1997,1.841522518
44,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1998,1.859631796
45,AUS,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.03471543
46,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2000,1.820885565
47,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2001,2.107631059
48,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2002,0.907039202
49,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2003,1.999823985
50,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2004,1.634782154
51,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.021297628
52,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2006,0.917247985
53,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2007,1.078794432
54,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2008,1.583139939
55,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2009,1.572942151
56,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.030107097
57,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.151108319
58,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2012,1.760921489
59,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2013,2.006071795
60,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2014,1.713658537
61,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2015,1.738671935
62,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2016,1.793225558
63,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.821027181
64,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.840572948
65,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.85373912
66,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.868587536
67,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.882219973
68,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.8968633
69,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.91149436
70,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.926269137
71,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.941559135
72,CAN,CROPYIELD,RICE,TONNE_HA,A,1990,0
73,CAN,CROPYIELD,RICE,TONNE_HA,A,1991,0
74,CAN,CROPYIELD,RICE,TONNE_HA,A,1992,0
75,CAN,CROPYIELD,RICE,TONNE_HA,A,1993,0
76,CAN,CROPYIELD,RICE,TONNE_HA,A,1994,0
77,CAN,CROPYIELD,RICE,TONNE_HA,A,1995,0
78,CAN,CROPYIELD,RICE,TONNE_HA,A,1996,0
79,CAN,CROPYIELD,RICE,TONNE_HA,A,1997,0
80,CAN,CROPYIELD,RICE,TONNE_HA,A,1998,0
81,CAN,CROPYIELD,RICE,TONNE_HA,A,1999,0
82,CAN,CROPYIELD,RICE,TONNE_HA,A,2000,0
83,CAN,CROPYIELD,RICE,TONNE_HA,A,2001,0
84,CAN,CROPYIELD,RICE,TONNE_HA,A,2002,0
85,CAN,CROPYIELD,RICE,TONNE_HA,A,2003,0
86,CAN,CROPYIELD,RICE,TONNE_HA,A,2004,0
87,CAN,CROPYIELD,RICE,TONNE_HA,A,2005,0
88,CAN,CROPYIELD,RICE,TONNE_HA,A,2006,0
89,CAN,CROPYIELD,RICE,TONNE_HA,A,2007,0
90,CAN,CROPYIELD,RICE,TONNE_HA,A,2008,0
91,CAN,CROPYIELD,RICE,TONNE_HA,A,2009,0
92,CAN,CROPYIELD,RICE,TONNE_HA,A,2010,0
93,CAN,CROPYIELD,RICE,TONNE_HA,A,2011,0
94,CAN,CROPYIELD,RICE,TONNE_HA,A,2012,0
95,CAN,CROPYIELD,RICE,TONNE_HA,A,2013,0
96,CAN,CROPYIELD,RICE,TONNE_HA,A,2014,0
97,CAN,CROPYIELD,RICE,TONNE_HA,A,2015,0
98,CAN,CROPYIELD,RICE,TONNE_HA,A,2016,0
99,CAN,CROPYIELD,RICE,TONNE_HA,A,2017,0
100,CAN,CROPYIELD,RICE,TONNE_HA,A,2018,0
101,CAN,CROPYIELD,RICE,TONNE_HA,A,2019,0
102,CAN,CROPYIELD,RICE,TONNE_HA,A,2020,0
103,CAN,CROPYIELD,RICE,TONNE_HA,A,2021,0
104,CAN,CROPYIELD,RICE,TONNE_HA,A,2022,0
105,CAN,CROPYIELD,RICE,TONNE_HA,A,2023,0
106,CAN,CROPYIELD,RICE,TONNE_HA,A,2024,0
107,CAN,CROPYIELD,RICE,TONNE_HA,A,2025,0
108,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1990,2.276878879
109,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1991,2.255903407
110,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1992,2.160365012
111,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1993,2.200126064
112,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1994,2.127415672
113,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1995,2.246702689
114,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.430287462
115,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1997,2.128538893
116,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1998,2.254960345
117,CAN,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.59709271
118,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.444586727
119,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2001,1.945235962
120,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2002,1.832420642
121,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2003,2.256458955
122,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2004,2.640937703
123,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.738052702
124,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2006,2.609576732
125,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2007,2.331727812
126,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2008,2.857490889
127,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2009,2.789729204
128,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.80850038
129,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.956796258
130,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2012,2.864579714
131,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2013,3.594307277
132,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2014,3.103399
133,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2015,2.881199
134,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2016,3.02
135,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.032567248
136,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.046963
137,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.062879
138,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.080637
139,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.098327
140,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.115755
141,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.132265
142,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.14982
143,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.167473388
144,JPN,CROPYIELD,RICE,TONNE_HA,A,1990,4.586351977
145,JPN,CROPYIELD,RICE,TONNE_HA,A,1991,4.24657101
146,JPN,CROPYIELD,RICE,TONNE_HA,A,1992,4.548498575
147,JPN,CROPYIELD,RICE,TONNE_HA,A,1993,3.318187938
148,JPN,CROPYIELD,RICE,TONNE_HA,A,1994,4.907226944
149,JPN,CROPYIELD,RICE,TONNE_HA,A,1995,4.597586402
150,JPN,CROPYIELD,RICE,TONNE_HA,A,1996,4.740345979
151,JPN,CROPYIELD,RICE,TONNE_HA,A,1997,4.650614439
152,JPN,CROPYIELD,RICE,TONNE_HA,A,1998,4.507362576
153,JPN,CROPYIELD,RICE,TONNE_HA,A,1999,4.649077181
154,JPN,CROPYIELD,RICE,TONNE_HA,A,2000,4.85759322
155,JPN,CROPYIELD,RICE,TONNE_HA,A,2001,4.809872216
156,JPN,CROPYIELD,RICE,TONNE_HA,A,2002,4.770991706
157,JPN,CROPYIELD,RICE,TONNE_HA,A,2003,4.239971171
158,JPN,CROPYIELD,RICE,TONNE_HA,A,2004,4.64984127
159,JPN,CROPYIELD,RICE,TONNE_HA,A,2005,4.818900352
160,JPN,CROPYIELD,RICE,TONNE_HA,A,2006,4.592260664
161,JPN,CROPYIELD,RICE,TONNE_HA,A,2007,4.718998207
162,JPN,CROPYIELD,RICE,TONNE_HA,A,2008,4.913114935
163,JPN,CROPYIELD,RICE,TONNE_HA,A,2009,4.727490148
164,JPN,CROPYIELD,RICE,TONNE_HA,A,2010,4.760395577
165,JPN,CROPYIELD,RICE,TONNE_HA,A,2011,4.924362944
166,JPN,CROPYIELD,RICE,TONNE_HA,A,2012,4.980994307
167,JPN,CROPYIELD,RICE,TONNE_HA,A,2013,4.939654784
168,JPN,CROPYIELD,RICE,TONNE_HA,A,2014,4.963154286
169,JPN,CROPYIELD,RICE,TONNE_HA,A,2015,5.228939483
170,JPN,CROPYIELD,RICE,TONNE_HA,A,2016,5.000434231
171,JPN,CROPYIELD,RICE,TONNE_HA,A,2017,5.019179081
172,JPN,CROPYIELD,RICE,TONNE_HA,A,2018,5.037994199
173,JPN,CROPYIELD,RICE,TONNE_HA,A,2019,5.056879848
174,JPN,CROPYIELD,RICE,TONNE_HA,A,2020,5.075836293
175,JPN,CROPYIELD,RICE,TONNE_HA,A,2021,5.094863798
176,JPN,CROPYIELD,RICE,TONNE_HA,A,2022,5.113962631
177,JPN,CROPYIELD,RICE,TONNE_HA,A,2023,5.133133059
178,JPN,CROPYIELD,RICE,TONNE_HA,A,2024,5.15237535
179,JPN,CROPYIELD,RICE,TONNE_HA,A,2025,5.171689773
180,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1990,3.655913978
181,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1991,3.179723502
182,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1992,3.538461538
183,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1993,3.474945534
184,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1994,3.719552337
185,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1995,2.934567085
186,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1996,3.015772871
187,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1997,3.638095238
188,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1998,3.514180025
189,JPN,CROPYIELD,WHEAT,TONNE_HA,A,1999,3.453791469
190,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2000,3.759562842
191,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2001,3.555104114
192,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2002,4.006766554
193,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2003,4.033930254
194,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2004,4.037558685
195,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2005,4.088785047
196,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2006,3.839449541
197,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2007,4.333333333
198,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2008,4.215311005
199,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2009,3.236677868
200,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.759787337
201,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2011,3.528605201
202,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2012,4.101338432
203,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2013,3.862987631
204,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2014,4.00752587
205,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2015,4
206,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2016,3.992962983
207,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2017,4.012915249
208,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2018,4.032941677
209,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2019,4.053110418
210,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2020,4.073393127
211,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2021,4.093763691
212,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2022,4.114243036
213,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2023,4.134816342
214,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2024,4.1555071
215,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2025,4.17630565
216,KOR,CROPYIELD,RICE,TONNE_HA,A,1990,4.505179047
217,KOR,CROPYIELD,RICE,TONNE_HA,A,1991,4.455596609
218,KOR,CROPYIELD,RICE,TONNE_HA,A,1992,4.607913492
219,KOR,CROPYIELD,RICE,TONNE_HA,A,1993,4.181644498
220,KOR,CROPYIELD,RICE,TONNE_HA,A,1994,4.588905577
221,KOR,CROPYIELD,RICE,TONNE_HA,A,1995,4.446536878
222,KOR,CROPYIELD,RICE,TONNE_HA,A,1996,5.071632195
223,KOR,CROPYIELD,RICE,TONNE_HA,A,1997,5.178246761
224,KOR,CROPYIELD,RICE,TONNE_HA,A,1998,4.813248694
225,KOR,CROPYIELD,RICE,TONNE_HA,A,1999,4.935926836
226,KOR,CROPYIELD,RICE,TONNE_HA,A,2000,4.933750045
227,KOR,CROPYIELD,RICE,TONNE_HA,A,2001,5.091560069
228,KOR,CROPYIELD,RICE,TONNE_HA,A,2002,4.677944826
229,KOR,CROPYIELD,RICE,TONNE_HA,A,2003,4.380909028
230,KOR,CROPYIELD,RICE,TONNE_HA,A,2004,4.994360536
231,KOR,CROPYIELD,RICE,TONNE_HA,A,2005,4.867087128
232,KOR,CROPYIELD,RICE,TONNE_HA,A,2006,4.899339321
233,KOR,CROPYIELD,RICE,TONNE_HA,A,2007,4.638508813
234,KOR,CROPYIELD,RICE,TONNE_HA,A,2008,5.17594997
235,KOR,CROPYIELD,RICE,TONNE_HA,A,2009,5.317722243
236,KOR,CROPYIELD,RICE,TONNE_HA,A,2010,4.815085968
237,KOR,CROPYIELD,RICE,TONNE_HA,A,2011,4.947183433
238,KOR,CROPYIELD,RICE,TONNE_HA,A,2012,4.717754471
239,KOR,CROPYIELD,RICE,TONNE_HA,A,2013,5.080331482
240,KOR,CROPYIELD,RICE,TONNE_HA,A,2014,5.200132188
241,KOR,CROPYIELD,RICE,TONNE_HA,A,2015,5.413082478
242,KOR,CROPYIELD,RICE,TONNE_HA,A,2016,5.102825155
243,KOR,CROPYIELD,RICE,TONNE_HA,A,2017,5.15372201
244,KOR,CROPYIELD,RICE,TONNE_HA,A,2018,5.204618866
245,KOR,CROPYIELD,RICE,TONNE_HA,A,2019,5.255515722
246,KOR,CROPYIELD,RICE,TONNE_HA,A,2020,5.306412577
247,KOR,CROPYIELD,RICE,TONNE_HA,A,2021,5.357309433
248,KOR,CROPYIELD,RICE,TONNE_HA,A,2022,5.408206289
249,KOR,CROPYIELD,RICE,TONNE_HA,A,2023,5.459103144
250,KOR,CROPYIELD,RICE,TONNE_HA,A,2024,5.51
251,KOR,CROPYIELD,RICE,TONNE_HA,A,2025,5.5651
252,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1990,3.023809524
253,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1991,3.095505618
254,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1992,3.365853659
255,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1993,2.711151737
256,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1994,3.704467354
257,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1995,4.438581315
258,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1996,3.91926803
259,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1997,4.044069641
260,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1998,3.484693878
261,KOR,CROPYIELD,WHEAT,TONNE_HA,A,1999,3.669928245
262,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.54515778
263,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2001,3.104918033
264,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2002,3.226769912
265,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2003,3.051203901
266,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2004,3.328850211
267,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2005,3.205845511
268,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2006,3.3429229
269,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2007,3.812759336
270,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2008,4.063946646
271,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2009,3.70672982
272,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2010,3.117309531
273,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2011,3.348436063
274,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2012,3.909791909
275,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2013,2.585243456
276,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2014,3.260306407
277,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2015,3.244217473
278,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2016,3.289581662
279,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.33300739
280,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.374616308
281,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.414520094
282,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.452821458
283,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.489615024
284,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.524988107
285,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.559021412
286,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.59178964
287,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.623362042
288,MEX,CROPYIELD,RICE,TONNE_HA,A,1990,2.666666667
289,MEX,CROPYIELD,RICE,TONNE_HA,A,1991,2.714285714
290,MEX,CROPYIELD,RICE,TONNE_HA,A,1992,2.857142857
291,MEX,CROPYIELD,RICE,TONNE_HA,A,1993,3.215846893
292,MEX,CROPYIELD,RICE,TONNE_HA,A,1994,2.808630917
293,MEX,CROPYIELD,RICE,TONNE_HA,A,1995,3.088257117
294,MEX,CROPYIELD,RICE,TONNE_HA,A,1996,2.997182466
295,MEX,CROPYIELD,RICE,TONNE_HA,A,1997,2.730062912
296,MEX,CROPYIELD,RICE,TONNE_HA,A,1998,2.977090632
297,MEX,CROPYIELD,RICE,TONNE_HA,A,1999,2.908657465
298,MEX,CROPYIELD,RICE,TONNE_HA,A,2000,2.967015458
299,MEX,CROPYIELD,RICE,TONNE_HA,A,2001,4.257584763
300,MEX,CROPYIELD,RICE,TONNE_HA,A,2002,4.502704468
301,MEX,CROPYIELD,RICE,TONNE_HA,A,2003,4.551124299
302,MEX,CROPYIELD,RICE,TONNE_HA,A,2004,4.464506583
303,MEX,CROPYIELD,RICE,TONNE_HA,A,2005,5.065292118
304,MEX,CROPYIELD,RICE,TONNE_HA,A,2006,3.149019562
305,MEX,CROPYIELD,RICE,TONNE_HA,A,2007,2.733111152
306,MEX,CROPYIELD,RICE,TONNE_HA,A,2008,2.935942367
307,MEX,CROPYIELD,RICE,TONNE_HA,A,2009,3.191420418
308,MEX,CROPYIELD,RICE,TONNE_HA,A,2010,3.415105425
309,MEX,CROPYIELD,RICE,TONNE_HA,A,2011,3.353283715
310,MEX,CROPYIELD,RICE,TONNE_HA,A,2012,3.699984972
311,MEX,CROPYIELD,RICE,TONNE_HA,A,2013,3.569757921
312,MEX,CROPYIELD,RICE,TONNE_HA,A,2014,3.758647303
313,MEX,CROPYIELD,RICE,TONNE_HA,A,2015,3.608830677
314,MEX,CROPYIELD,RICE,TONNE_HA,A,2016,3.658814724
315,MEX,CROPYIELD,RICE,TONNE_HA,A,2017,3.710082525
316,MEX,CROPYIELD,RICE,TONNE_HA,A,2018,3.762212922
317,MEX,CROPYIELD,RICE,TONNE_HA,A,2019,3.813533835
318,MEX,CROPYIELD,RICE,TONNE_HA,A,2020,3.864655795
319,MEX,CROPYIELD,RICE,TONNE_HA,A,2021,3.917116413
320,MEX,CROPYIELD,RICE,TONNE_HA,A,2022,3.971248724
321,MEX,CROPYIELD,RICE,TONNE_HA,A,2023,4.02492358
322,MEX,CROPYIELD,RICE,TONNE_HA,A,2024,4.079448417
323,MEX,CROPYIELD,RICE,TONNE_HA,A,2025,4.134604114
324,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1990,4.213290461
325,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1991,4.127219248
326,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1992,3.953023424
327,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1993,4.082108209
328,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1994,4.303382225
329,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1995,3.731950188
330,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1996,4.170641227
331,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1997,4.734662432
332,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1998,4.207719641
333,MEX,CROPYIELD,WHEAT,TONNE_HA,A,1999,4.631151311
334,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2000,4.935531858
335,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2001,4.766049224
336,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2002,5.0998916
337,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2003,4.491411911
338,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2004,4.478340013
339,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2005,4.751694104
340,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2006,5.227409277
341,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2007,5.082402818
342,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2008,5.084365655
343,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2009,4.968762401
344,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2010,5.418450882
345,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2011,5.477792025
346,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2012,5.65675701
347,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2013,5.293424665
348,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2014,5.193541355
349,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2015,4.379227053
350,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2016,4.955397691
351,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2017,5.012159612
352,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2018,5.057482579
353,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2019,5.093103311
354,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2020,5.139172138
355,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2021,5.176571162
356,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2022,5.220100557
357,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2023,5.26272981
358,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2024,5.305332567
359,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2025,5.351183606
360,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1990,4.409891545
361,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1991,4.777230997
362,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1992,5.359511515
363,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1993,5.432485895
364,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1994,4.674439479
365,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1995,4.541428994
366,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1996,5.494250114
367,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1997,5.904567789
368,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1998,5.333377151
369,NZL,CROPYIELD,WHEAT,TONNE_HA,A,1999,6.635996785
370,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2000,7.428571429
